Text1,Text2,Similarity
"This paper describes our two-stage system1 for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022. Euphemisms tone down expressions about sensitive or unpleasant issues like addiction and death. The ambiguous nature of euphemistic words or expressions makes it challenging to detect their actual meaning within a context. In the first stage, we seek to mitigate this ambiguity by incorporating literal descriptions into input text prompts to our baseline model. It turns out that this kind of direct supervision yields remarkable performance improvement. In the second stage, we integrate visual supervision into our system using visual imageries, two sets of images generated by a text-to-image model by taking terms and descriptions as input. Our experiments demonstrate that visual supervision also gives a statistically significant performance boost. Our system achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.","Our two-stage system for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022 is presented in this paper. It is difficult to identify the true meaning of euphemistic words or phrases due to their ambiguous nature when it comes to sensitive or unpleasant topics such as addiction and death. To reduce this ambiguity, we added literal descriptions to the input text prompts of our baseline model in the first stage, which resulted in significant performance improvement. In the second stage, visual supervision was integrated by using two sets of images generated by a text-to-image model that takes terms and descriptions as input. Our experiments showed that visual supervision gives a statistically significant performance boost. We achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.",1
"Giving machines the ability to imagine possible new objects or scenes from linguistic descriptions and produce their realistic renderings is arguably one of the most challenging problems in computer vision. Recent advances in deep generative models have led to new approaches that give promising results towards this goal. In this paper, we introduce a new method called DiCoMoGAN for manipulating videos with natural language, aiming to perform local and semantic edits on a video clip to alter the appearances of an object of interest. Our GAN architecture allows for better utilization of multiple observations by disentangling content and motion to enable controllable semantic edits. To this end, we introduce two tightly coupled networks: (i) a representation network for constructing a concise understanding of motion dynamics and temporally invariant content, and (ii) a translation network that exploits the extracted latent content representation to actuate the manipulation according to the target description. Our qualitative and quantitative evaluations demonstrate that DiCoMoGAN significantly outperforms existing frame-based methods, producing temporally coherent and semantically more meaningful results.","Developing machines that can generate realistic renderings of new objects or scenes from linguistic descriptions is one of the most difficult tasks in computer vision. Recently, deep generative models have been utilized to produce promising results. In this paper, we propose a new method, DiCoMoGAN, for manipulating videos with natural language, to modify the look of a particular object. Our GAN architecture permits better utilization of multiple observations by separating content and motion to allow for controllable semantic edits. To accomplish this, two networks are used: (i) a representation network for creating a succinct understanding of motion dynamics and content that is temporally invariant, and (ii) a translation network that uses the latent content representation to effect the manipulation according to the target description. Our qualitative and quantitative evaluations show that DiCoMoGAN significantly surpasses existing frame-based methods, producing results that are temporally coherent and semantically more meaningful.",1
"Flow-based generative super-resolution (SR) models learn to produce a diverse set of feasible SR solutions, called the SR space. Diversity of SR solutions increases with the temperature (τ ) of latent variables, which introduces random variations of texture among sample solutions, resulting in visual artifacts and low fidelity. In this paper, we present a simple but effective image ensembling/fusion approach to obtain a single SR image eliminating random artifacts and improving fidelity without significantly compromising perceptual quality. We achieve this by benefiting from a diverse set of feasible photorealistic solutions in the SR space spanned by flow models. We propose different image ensembling and fusion strategies which offer multiple paths to move sample solutions in the SR space to more desired destinations in the perception-distortion plane in a controllable manner depending on the fidelity vs. perceptual quality requirements of the task at hand. Experimental results demonstrate that our image ensembling/fusion strategy achieves more promising perception-distortion tradeoff compared to sample SR images produced by flow models and adversarially trained models in terms of both quantitative metrics and visual quality.","Flow-based generative super-resolution (SR) models learn to generate a wide range of SR solutions, referred to as the SR space. As the temperature (τ ) of latent variables increases, the diversity of SR solutions also increases, resulting in visible artifacts and low accuracy. In this paper, we present a straightforward yet effective image ensembling/fusion approach to obtain a single SR image that eliminates random artifacts and boosts fidelity without significantly reducing perceptual quality. We take advantage of the wide range of realistic solutions in the SR space generated by flow models. We propose several image ensembling and fusion strategies that provide multiple paths to move sample solutions in the SR space to the desired locations in the perception-distortion plane depending on the task's fidelity vs. perceptual quality requirements. Experimental results demonstrate that our image ensembling/fusion strategy offers a better perception-distortion tradeoff compared to sample SR images produced by flow models and adversarially trained models in terms of both quantitative metrics and visual quality.",1
"Language models demonstrate both quantitative improvement and new qualitative capabilities with increasing scale. Despite their potentially transformative impact, these new capabilities are as yet poorly characterized. In order to inform future research, prepare for disruptive new model capabilities, and ameliorate socially harmful effects, it is vital that we understand the present and near-future capabilities and limitations of language models. To address this challenge, we introduce the Beyond the Imitation Game benchmark (BIG-bench). BIG-bench currently consists of 204 tasks, contributed by 444 authors across 132 institutions. Task topics are diverse, drawing problems from linguistics, childhood development, math, common-sense reasoning, biology, physics, social bias, software development, and beyond. BIG-bench focuses on tasks that are believed to be beyond the capabilities of current language models. We evaluate the behavior of OpenAI’s GPT models, Google-internal dense transformer architectures, and Switch-style sparse transformers on BIG-bench, across model sizes spanning millions to hundreds of billions of parameters. In addition, a team of human expert raters performed all tasks in order to provide a strong baseline. Findings include: model performance and calibration both improve with scale, but are poor in absolute terms (and when compared with rater performance); performance is remarkably similar across model classes, though with benefits from sparsity; tasks that improve gradually and predictably commonly involve a large knowledge or memorization component, whereas tasks that exhibit “breakthrough” behavior at a critical scale often involve multiple steps or components, or brittle metrics; social bias typically increases with scale in settings with ambiguous context, but this can be improved with prompting. ","Language models show improvement and new capabilities with size increase. These are not well understood, so to be prepared for future developments and to avoid negative effects, we must know the current and near-future abilities and limitations of these models. To do this, BIG-bench was created with 204 tasks from 444 authors at 132 institutions, covering linguistics, childhood development, math, common-sense reasoning, biology, physics, social bias, software development, and more. It focuses on tasks that are believed to be too difficult for existing language models. We tested OpenAI's GPT models, Google-internal dense transformer architectures, and Switch-style sparse transformers on BIG-bench, with sizes ranging from millions to hundreds of billions of parameters. Furthermore, human experts completed all tasks to set a strong baseline. Results showed that performance and calibration increase with size, but are still low in absolute terms (and compared to the experts). Performance was similar across model types, but sparsity was beneficial. Tasks that improve gradually usually have large knowledge or memorization components, while tasks that show dramatic improvement at a certain size usually involve multiple steps or components, or have fragile metrics. Social bias usually rises with scale in ambiguous contexts, but can be lessened with prompting.",1
"Magnetic resonance imaging (MRI) is used in many diagnostic applications as it has a high soft-tissue contrast and is a non-invasive medical imaging method. MR signal levels differs according to the parameters T1, T2 and PD that change with respect to the chemical structure of the tissues. However, long scan times might limit acquiring images from multiple contrasts or if the multi-contrasts images are acquired, the contrasts are noisy. To overcome this limitation of MRI, multi-contrast synthesis can be utilized. In this paper, we propose a deep learning method based on Channel-Exchanging-Network (CEN) for multi-contrast image synthesis. Demonstrations are provided on IXI dataset. The proposed model based on CEN is compared against alternative methods based on CNNs and GANs. Our results show that the proposed model achieves superior performance to the competing methods. ","MRI has high soft-tissue contrast and is a non-invasive method, making it ideal for diagnostic purposes. Its signal levels are affected by T1, T2 and PD, which vary depending on the tissue's chemical structure. However, long scan times can make it difficult to acquire multiple contrasts. To address this limitation, multi-contrast synthesis using deep learning based on Channel-Exchanging-Network (CEN) is proposed in this paper. Demonstrations on IXI dataset show that CEN outperforms CNNs and GANs in multi-contrast image synthesis.",1
"The immense amount of videos being uploaded to video sharing platforms makes it impossible for a person to watch all the videos understand what happens in them. Hence, machine learning techniques are now deployed to index videos by recognizing key objects, actions and scenes or places. Summarization is another alternative as it offers to extract only important parts while covering the gist of the video content. Ideally, the user may prefer to analyze a certain action or scene by searching a query term within the video. Current summarization methods generally do not take queries into account or require exhaustive data labeling. In this work, we present a weakly supervised query-focused video summarization method. Our proposed approach makes use of semantic attributes as an indicator of query relevance and semantic attention maps to locate related regions in the frames and utilizes both within a submodular maximization framework. We conducted experiments on the recently introduced RAD dataset and obtained highly competitive results. Moreover, to better evaluate the performance of our approach on longer videos, we collected a new dataset, which consists of 10 videos from YouTube and annotated with shot-level multiple attributes. Our dataset enables much diverse set of queries that can be used to summarize a video from different perspectives with more degrees of freedom.","It is infeasible for a person to watch all the videos on video sharing platforms and comprehend their content. Therefore, machine learning techniques are employed to index videos by identifying essential objects, actions, places and scenes. Summarization is another choice that enables extraction of relevant parts while maintaining the essence of the video. The user may prefer to search a specific action or scene with a query term. Existing summarization methods generally do not take queries into account or require exhaustive data labelling. This paper proposes a weakly supervised query-focused video summarization technique that makes use of semantic attributes as a marker of query relevance and semantic attention maps to locate related regions in the frames. This approach is employed in a submodular maximization framework. Experiments on the RAD dataset produced promising results. Furthermore, a new dataset was created which consists of 10 YouTube videos with shot-level multiple attributes. This dataset enables a more diverse set of queries to summarize videos from various perspectives with more freedom.",1
"Developing artificial learning systems that can understand and generate natural language has been one of the long-standing goals of artificial intelligence. Recent decades have witnessed an impressive progress on both of these problems, giving rise to a new family of approaches. Especially, the advances in deep learning over the past couple of years have led to neural approaches to natural language generation (NLG). These methods combine generative language learning techniques with neural-networks based frameworks. With a wide range of applications in natural language processing, neural NLG (NNLG) is a new and fast growing field of research. In this state-of-the-art report, we investigate the recent developments and applications of NNLG in its full extent from a multidimensional view, covering critical perspectives such as multimodality, multilinguality, controllability and learning strategies. We summarize the fundamental building blocks of NNLG approaches from these aspects and provide detailed reviews of commonly used preprocessing steps and basic neural architectures. This report also focuses on the seminal applications of these NNLG models such as machine translation, description generation, automatic speech recognition, abstractive summarization, text simplification, question answering and generation, and dialogue generation. Finally, we conclude with a thorough discussion of the described frameworks by pointing out some open research directions. ","Advances in deep learning have enabled artificial intelligence to achieve the long-standing goal of understanding and generating natural language. This has led to the emergence of a new family of approaches known as neural natural language generation (NNLG). With applications in natural language processing, NNLG is a rapidly growing field of research. This report provides a multidimensional overview of NNLG, including preprocessing steps, basic neural architectures, multimodality, multilinguality, controllability, and learning strategies. It also covers seminal applications of NNLG such as machine translation, description generation, automatic speech recognition, abstractive summarization, text simplification, question answering and generation, and dialogue generation. Lastly, the report concludes with a discussion of open research directions.",1
"While stochastic video prediction models enable future prediction under uncertainty, they mostly fail to model the complex dynamics of real-world scenes. For example, they cannot provide reliable predictions for scenes with a moving camera and independently moving foreground objects in driving scenarios. The existing methods fail to fully capture the dynamics of the structured world by only focusing on changes in pixels. In this paper, we assume that there is an underlying process creating observations in a video and propose to factorize it into static and dynamic components. We model the static part based on the scene structure and the ego-motion of the vehicle, and the dynamic part based on the remaining motion of the dynamic objects. By learning separate distributions of changes in foreground and background, we can decompose the scene into static and dynamic parts and separately model the change in each. Our experiments demonstrate that disentangling structure and motion helps stochastic video prediction, leading to better future predictions in complex driving scenarios on two real-world driving datasets, KITTI and Cityscapes. ","Stochastic video prediction models are inadequate for modeling the intricacies of real-world scenes, such as those with moving cameras and independently moving foreground objects in driving settings. To address this, we propose factoring the process of generating observations in a video into static and dynamic components. The static part is based on the scene structure and the vehicle's ego-motion, while the dynamic part is dependent on the motion of the dynamic objects. Our technique of disentangling structure and motion helps stochastic video prediction, thereby enhancing future predictions in complex driving scenarios on KITTI and Cityscapes datasets.",1
"How to best integrate linguistic and perceptual processing in multi-modal tasks that involve language and vision is an important open problem. In this work, we argue that the common practice of using language in a topdown manner, to direct visual attention over high-level visual features, may not be optimal. We hypothesize that the use of language to also condition the bottom-up processing from pixels to high-level features can provide benefits to the overall performance. To support our claim, we propose a U-Net-based model and perform experiments on two language-vision dense-prediction tasks: referring expression segmentation and language-guided image colorization. We compare results where either one or both of the top-down and bottom-up visual branches are conditioned on language. Our experiments reveal that using language to control the filters for bottom-up visual processing in addition to top-down attention leads to better results on both tasks and achieves competitive performance. Our linguistic analysis suggests that bottom-up conditioning improves segmentation of objects especially when input text refers to low-level visual concepts","Integrating linguistic and perceptual processing in multi-modal tasks involving language and vision is an open problem. Commonly, language is used to direct attention to high-level visual features in a top-down manner, which may not be optimal. We propose a U-Net-based model and explore the use of language to condition bottom-up processing from pixels to high-level features in two language-vision dense-prediction tasks: referring expression segmentation and language-guided image colorization. Results show that conditioning both top-down attention and bottom-up visual processing with language leads to better results on both tasks and competitive performance. Further linguistic analysis reveals that bottom-up conditioning improves segmentation of objects when input text refers to low-level visual concepts.",1
"Capturing images under extremely low-light conditions poses significant challenges for the standard camera pipeline. Images become too dark and too noisy, which makes traditional enhancement techniques almost impossible to apply. Recently, learning-based approaches have shown very promising results for this task since they have substantially more expressive capabilities to allow for improved quality. Motivated by these studies, in this paper, we aim to leverage burst photography to boost the performance and obtain much sharper and more accurate RGB images from extremely dark raw images. The backbone of our proposed framework is a novel coarse-to-fine network architecture that generates high-quality outputs progressively. The coarse network predicts a low-resolution, denoised raw image, which is then fed to the fine network to recover fine-scale details and realistic textures. To further reduce the noise level and improve the color accuracy, we extend this network to a permutation invariant structure so that it takes a burst of low-light images as input and merges information from multiple images at the feature-level. Our experiments demonstrate that our approach leads to perceptually more pleasing results than the state-of-the-art methods by producing more detailed and considerably higher quality images.","Capturing images in dim lighting is difficult for the standard camera pipeline. Images become too dark and noisy, making traditional enhancement difficult. Recently, learning-based approaches have demonstrated potential for this task due to their ability to create improved quality. To boost performance, this paper proposes a novel coarse-to-fine network architecture that generates high-quality outputs gradually. This network predicts a low-resolution, denoised raw image, which is then fed to the fine network to recover small-scale details and textures. To reduce noise and improve color accuracy, the network is extended to a permutation invariant structure which takes a burst of low-light images as input and combines information from multiple images at the feature-level. Results show that our approach produces more detailed and higher quality images than existing methods.",1
