Text1,Text2,Similarity
"this paper describes our two-stage system1 for the euphemism detection shared task hosted by the 3rd workshop on figurative language processing in conjunction with emnlp 2022. euphemisms tone down expressions about sensitive or unpleasant issues like addiction and death. the ambiguous nature of euphemistic words or expressions makes it challenging to detect their actual meaning within a context. in the first stage, we seek to mitigate this ambiguity by incorporating literal descriptions into input text prompts to our baseline model. it turns out that this kind of direct supervision yields remarkable performance improvement. in the second stage, we integrate visual supervision into our system using visual imageries, two sets of images generated by a text-to-image model by taking terms and descriptions as input. our experiments demonstrate that visual supervision also gives a statistically significant performance boost. our system achieved the second place with an f1 score of 87.2%, only about 0.9% worse than the best submission.","our two-stage system for the euphemism detection shared task hosted by the 3rd workshop on figurative language processing in conjunction with emnlp 2022 is presented in this paper. it is difficult to identify the true meaning of euphemistic words or phrases due to their ambiguous nature when it comes to sensitive or unpleasant topics such as addiction and death. to reduce this ambiguity, we added literal descriptions to the input text prompts of our baseline model in the first stage, which resulted in significant performance improvement. in the second stage, visual supervision was integrated by using two sets of images generated by a text-to-image model that takes terms and descriptions as input. our experiments showed that visual supervision gives a statistically significant performance boost. we achieved the second place with an f1 score of 87.2%, only about 0.9% worse than the best submission.",1
"this paper describes our two-stage system1 for the euphemism detection shared task hosted by the 3rd workshop on figurative language processing in conjunction with emnlp 2022. euphemisms tone down expressions about sensitive or unpleasant issues like addiction and death. the ambiguous nature of euphemistic words or expressions makes it challenging to detect their actual meaning within a context. in the first stage, we seek to mitigate this ambiguity by incorporating literal descriptions into input text prompts to our baseline model. it turns out that this kind of direct supervision yields remarkable performance improvement. in the second stage, we integrate visual supervision into our system using visual imageries, two sets of images generated by a text-to-image model by taking terms and descriptions as input. our experiments demonstrate that visual supervision also gives a statistically significant performance boost. our system achieved the second place with an f1 score of 87.2%, only about 0.9% worse than the best submission.","у цьому документі представлено нашу двоетапну систему для спільного завдання «виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з emnlp 2022. важко визначити справжнє значення евфемістичних слів або фраз через їх неоднозначну природу, коли мова йде про чутливі або неприємні теми, такі як залежність і смерть. щоб зменшити цю неоднозначність, ми додали буквальні описи до вхідних текстових підказок нашої базової моделі на першому етапі, що призвело до значного покращення продуктивності. на другому етапі візуальний нагляд був інтегрований за допомогою двох наборів зображень, згенерованих моделлю перетворення тексту в зображення, яка приймає терміни та описи як вхідні дані. наші експерименти показали, що візуальне спостереження дає статистично значущий приріст продуктивності. ми зайняли друге місце з результатом формули-1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.",1
"у цьому документі описано нашу двоетапну систему1 для спільного завдання «виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з emnlp 2022. евфемізми пом’якшують вирази про чутливі або неприємні питання, такі як залежність і смерть. неоднозначний характер евфемістичних слів або виразів ускладнює виявлення їх справжнього значення в контексті. на першому етапі ми намагаємося пом’якшити цю неоднозначність, включивши літеральні описи до вхідних текстових підказок нашої базової моделі. виявляється, такий вид прямого контролю дає значне покращення продуктивності. на другому етапі ми інтегруємо візуальний нагляд у нашу систему за допомогою візуальних зображень, двох наборів зображень, створених за допомогою моделі тексту в зображення, використовуючи терміни та описи як вхідні дані. наші експерименти демонструють, що візуальний контроль також дає статистично значуще підвищення продуктивності. наша система посіла друге місце з результатом f1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.","our two-stage system for the euphemism detection shared task hosted by the 3rd workshop on figurative language processing in conjunction with emnlp 2022 is presented in this paper. it is difficult to identify the true meaning of euphemistic words or phrases due to their ambiguous nature when it comes to sensitive or unpleasant topics such as addiction and death. to reduce this ambiguity, we added literal descriptions to the input text prompts of our baseline model in the first stage, which resulted in significant performance improvement. in the second stage, visual supervision was integrated by using two sets of images generated by a text-to-image model that takes terms and descriptions as input. our experiments showed that visual supervision gives a statistically significant performance boost. we achieved the second place with an f1 score of 87.2%, only about 0.9% worse than the best submission.",1
"у цьому документі описано нашу двоетапну систему1 для спільного завдання «виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з emnlp 2022. евфемізми пом’якшують вирази про чутливі або неприємні питання, такі як залежність і смерть. неоднозначний характер евфемістичних слів або виразів ускладнює виявлення їх справжнього значення в контексті. на першому етапі ми намагаємося пом’якшити цю неоднозначність, включивши літеральні описи до вхідних текстових підказок нашої базової моделі. виявляється, такий вид прямого контролю дає значне покращення продуктивності. на другому етапі ми інтегруємо візуальний нагляд у нашу систему за допомогою візуальних зображень, двох наборів зображень, створених за допомогою моделі тексту в зображення, використовуючи терміни та описи як вхідні дані. наші експерименти демонструють, що візуальний контроль також дає статистично значуще підвищення продуктивності. наша система посіла друге місце з результатом f1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.","у цьому документі представлено нашу двоетапну систему для спільного завдання «виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з emnlp 2022. важко визначити справжнє значення евфемістичних слів або фраз через їх неоднозначну природу, коли йдеться про чутливі чи неприємні теми, такі як залежність і смерть. щоб зменшити цю неоднозначність, ми додали буквальні описи до вхідних текстових підказок нашої базової моделі на першому етапі, що призвело до значного покращення продуктивності. на другому етапі візуальний нагляд був інтегрований за допомогою двох наборів зображень, згенерованих моделлю тексту в зображення, яка приймає терміни та описи як вхідні дані. наші експерименти показали, що візуальне спостереження дає статистично значущий приріст продуктивності. ми зайняли друге місце з результатом формули-1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.",1
"giving machines the ability to imagine possible new objects or scenes from linguistic descriptions and produce their realistic renderings is arguably one of the most challenging problems in computer vision. recent advances in deep generative models have led to new approaches that give promising results towards this goal. in this paper, we introduce a new method called dicomogan for manipulating videos with natural language, aiming to perform local and semantic edits on a video clip to alter the appearances of an object of interest. our gan architecture allows for better utilization of multiple observations by disentangling content and motion to enable controllable semantic edits. to this end, we introduce two tightly coupled networks: (i) a representation network for constructing a concise understanding of motion dynamics and temporally invariant content, and (ii) a translation network that exploits the extracted latent content representation to actuate the manipulation according to the target description. our qualitative and quantitative evaluations demonstrate that dicomogan significantly outperforms existing frame-based methods, producing temporally coherent and semantically more meaningful results.","developing machines that can generate realistic renderings of new objects or scenes from linguistic descriptions is one of the most difficult tasks in computer vision. recently, deep generative models have been utilized to produce promising results. in this paper, we propose a new method, dicomogan, for manipulating videos with natural language, to modify the look of a particular object. our gan architecture permits better utilization of multiple observations by separating content and motion to allow for controllable semantic edits. to accomplish this, two networks are used: (i) a representation network for creating a succinct understanding of motion dynamics and content that is temporally invariant, and (ii) a translation network that uses the latent content representation to effect the manipulation according to the target description. our qualitative and quantitative evaluations show that dicomogan significantly surpasses existing frame-based methods, producing results that are temporally coherent and semantically more meaningful.",1
"giving machines the ability to imagine possible new objects or scenes from linguistic descriptions and produce their realistic renderings is arguably one of the most challenging problems in computer vision. recent advances in deep generative models have led to new approaches that give promising results towards this goal. in this paper, we introduce a new method called dicomogan for manipulating videos with natural language, aiming to perform local and semantic edits on a video clip to alter the appearances of an object of interest. our gan architecture allows for better utilization of multiple observations by disentangling content and motion to enable controllable semantic edits. to this end, we introduce two tightly coupled networks: (i) a representation network for constructing a concise understanding of motion dynamics and temporally invariant content, and (ii) a translation network that exploits the extracted latent content representation to actuate the manipulation according to the target description. our qualitative and quantitative evaluations demonstrate that dicomogan significantly outperforms existing frame-based methods, producing temporally coherent and semantically more meaningful results.","розробка машин, які можуть генерувати реалістичні візуалізації нових об’єктів або сцен на основі лінгвістичних описів, є одним із найскладніших завдань комп’ютерного зору. останнім часом глибокі генеративні моделі були використані для отримання багатообіцяючих результатів. у цій статті ми пропонуємо новий метод, dicomogan, для обробки відео за допомогою природної мови, щоб змінити зовнішній вигляд певного об’єкта. наша архітектура gan дозволяє краще використовувати кілька спостережень, відокремлюючи вміст і рух, щоб забезпечити кероване семантичне редагування. щоб досягти цього, використовуються дві мережі: (i) мережа представлення для створення короткого розуміння динаміки руху та вмісту, незмінного за часом, і (ii) мережа перекладу, яка використовує представлення латентного вмісту для здійснення маніпуляцій відповідно до цільовий опис. наші якісні та кількісні оцінки показують, що dicomogan значно перевершує існуючі методи на основі кадрів, створюючи результати, які є часово узгодженими та семантично більш значущими.",1
"надання машинам здатності уявляти можливі нові об’єкти чи сцени на основі лінгвістичних описів і виробляти їх реалістичне відтворення є, мабуть, однією з найскладніших проблем комп’ютерного зору. останні досягнення в глибоких генеративних моделях привели до нових підходів, які дають багатообіцяючі результати для досягнення цієї мети. у цій статті ми представляємо новий метод під назвою dicomogan для обробки відео за допомогою природної мови, спрямований на виконання локальних і семантичних редагувань відеокліпу, щоб змінити зовнішній вигляд цікавого об’єкта. наша архітектура gan дозволяє краще використовувати кілька спостережень, розмежовуючи вміст і рух, щоб уможливити кероване семантичне редагування. з цією метою ми представляємо дві тісно пов’язані мережі: (i) репрезентативну мережу для побудови стислого розуміння динаміки руху та тимчасово незмінного вмісту, і (ii) мережу перекладу, яка використовує виділене латентне представлення вмісту для активації маніпуляції відповідно до цільовий опис. наші якісні та кількісні оцінки демонструють, що dicomogan значно перевершує існуючі методи на основі фреймів, створюючи узгоджені в часі та семантично більш значущі результати.","developing machines that can generate realistic renderings of new objects or scenes from linguistic descriptions is one of the most difficult tasks in computer vision. recently, deep generative models have been utilized to produce promising results. in this paper, we propose a new method, dicomogan, for manipulating videos with natural language, to modify the look of a particular object. our gan architecture permits better utilization of multiple observations by separating content and motion to allow for controllable semantic edits. to accomplish this, two networks are used: (i) a representation network for creating a succinct understanding of motion dynamics and content that is temporally invariant, and (ii) a translation network that uses the latent content representation to effect the manipulation according to the target description. our qualitative and quantitative evaluations show that dicomogan significantly surpasses existing frame-based methods, producing results that are temporally coherent and semantically more meaningful.",1
"надання машинам здатності уявляти можливі нові об’єкти чи сцени на основі лінгвістичних описів і виробляти їх реалістичне відтворення є, мабуть, однією з найскладніших проблем комп’ютерного зору. останні досягнення в глибоких генеративних моделях привели до нових підходів, які дають багатообіцяючі результати для досягнення цієї мети. у цій статті ми представляємо новий метод під назвою dicomogan для обробки відео за допомогою природної мови, спрямований на виконання локальних і семантичних редагувань відеокліпу, щоб змінити зовнішній вигляд цікавого об’єкта. наша архітектура gan дозволяє краще використовувати кілька спостережень, розмежовуючи вміст і рух, щоб уможливити кероване семантичне редагування. з цією метою ми представляємо дві тісно пов’язані мережі: (i) репрезентативну мережу для побудови стислого розуміння динаміки руху та тимчасово незмінного вмісту, і (ii) мережу перекладу, яка використовує виділене латентне представлення вмісту для активації маніпуляції відповідно до цільовий опис. наші якісні та кількісні оцінки демонструють, що dicomogan значно перевершує існуючі методи на основі фреймів, створюючи узгоджені в часі та семантично більш значущі результати.","розробка машин, які можуть генерувати реалістичні візуалізації нових об’єктів або сцен на основі лінгвістичних описів, є одним із найскладніших завдань комп’ютерного зору. останнім часом глибокі генеративні моделі були використані для отримання багатообіцяючих результатів. у цій статті ми пропонуємо новий метод, dicomogan, для обробки відео за допомогою природної мови, щоб змінити зовнішній вигляд певного об’єкта. наша архітектура gan дозволяє краще використовувати кілька спостережень, відокремлюючи вміст і рух, щоб забезпечити кероване семантичне редагування. щоб досягти цього, використовуються дві мережі: (i) мережа представлення для створення короткого розуміння динаміки руху та вмісту, незмінного за часом, і (ii) мережа перекладу, яка використовує представлення латентного вмісту для здійснення маніпуляцій відповідно до цільовий опис. наші якісні та кількісні оцінки показують, що dicomogan значно перевершує існуючі методи на основі кадрів, створюючи результати, які є часово узгодженими та семантично більш значущими.",1
"flow-based generative super-resolution (sr) models learn to produce a diverse set of feasible sr solutions, called the sr space. diversity of sr solutions increases with the temperature (τ ) of latent variables, which introduces random variations of texture among sample solutions, resulting in visual artifacts and low fidelity. in this paper, we present a simple but effective image ensembling/fusion approach to obtain a single sr image eliminating random artifacts and improving fidelity without significantly compromising perceptual quality. we achieve this by benefiting from a diverse set of feasible photorealistic solutions in the sr space spanned by flow models. we propose different image ensembling and fusion strategies which offer multiple paths to move sample solutions in the sr space to more desired destinations in the perception-distortion plane in a controllable manner depending on the fidelity vs. perceptual quality requirements of the task at hand. experimental results demonstrate that our image ensembling/fusion strategy achieves more promising perception-distortion tradeoff compared to sample sr images produced by flow models and adversarially trained models in terms of both quantitative metrics and visual quality.","flow-based generative super-resolution (sr) models learn to generate a wide range of sr solutions, referred to as the sr space. as the temperature (τ ) of latent variables increases, the diversity of sr solutions also increases, resulting in visible artifacts and low accuracy. in this paper, we present a straightforward yet effective image ensembling/fusion approach to obtain a single sr image that eliminates random artifacts and boosts fidelity without significantly reducing perceptual quality. we take advantage of the wide range of realistic solutions in the sr space generated by flow models. we propose several image ensembling and fusion strategies that provide multiple paths to move sample solutions in the sr space to the desired locations in the perception-distortion plane depending on the task's fidelity vs. perceptual quality requirements. experimental results demonstrate that our image ensembling/fusion strategy offers a better perception-distortion tradeoff compared to sample sr images produced by flow models and adversarially trained models in terms of both quantitative metrics and visual quality.",1
"flow-based generative super-resolution (sr) models learn to produce a diverse set of feasible sr solutions, called the sr space. diversity of sr solutions increases with the temperature (τ ) of latent variables, which introduces random variations of texture among sample solutions, resulting in visual artifacts and low fidelity. in this paper, we present a simple but effective image ensembling/fusion approach to obtain a single sr image eliminating random artifacts and improving fidelity without significantly compromising perceptual quality. we achieve this by benefiting from a diverse set of feasible photorealistic solutions in the sr space spanned by flow models. we propose different image ensembling and fusion strategies which offer multiple paths to move sample solutions in the sr space to more desired destinations in the perception-distortion plane in a controllable manner depending on the fidelity vs. perceptual quality requirements of the task at hand. experimental results demonstrate that our image ensembling/fusion strategy achieves more promising perception-distortion tradeoff compared to sample sr images produced by flow models and adversarially trained models in terms of both quantitative metrics and visual quality.","моделі generative super-resolution (sr) на основі потоку вчаться генерувати широкий спектр рішень sr, які називаються простором sr. зі збільшенням температури (τ ) латентних змінних також збільшується різноманітність рішень sr, що призводить до видимих артефактів і низької точності. у цій статті ми представляємо простий, але ефективний підхід до ансамблювання/злиття зображень для отримання єдиного зображення sr, яке усуває випадкові артефакти та підвищує точність без значного зниження якості сприйняття. ми використовуємо широкий спектр реалістичних рішень у просторі sr, створених моделями потоку. ми пропонуємо кілька стратегій поєднання зображень і злиття, які забезпечують кілька шляхів для переміщення зразків рішень у просторі sr до бажаних місць у площині сприйняття-спотворення залежно від вимог до точності завдання та вимог до якості сприйняття. експериментальні результати демонструють, що наша стратегія ансамблювання/злиття зображень пропонує кращий компроміс між сприйняттям і спотворенням порівняно з зразками sr-зображень, створених потоковими моделями та навченими моделями з точки зору як кількісних показників, так і візуальної якості.",1
