Text1,Text2,Similarity
Text1,Текст2,Similarity
Текст1,Text2,Similarity
Текст1,Текст2,Similarity
"This paper describes our two-stage system1 for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022. Euphemisms tone down expressions about sensitive or unpleasant issues like addiction and death. The ambiguous nature of euphemistic words or expressions makes it challenging to detect their actual meaning within a context. In the first stage, we seek to mitigate this ambiguity by incorporating literal descriptions into input text prompts to our baseline model. It turns out that this kind of direct supervision yields remarkable performance improvement. In the second stage, we integrate visual supervision into our system using visual imageries, two sets of images generated by a text-to-image model by taking terms and descriptions as input. Our experiments demonstrate that visual supervision also gives a statistically significant performance boost. Our system achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.","Our two-stage system for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022 is presented in this paper. It is difficult to identify the true meaning of euphemistic words or phrases due to their ambiguous nature when it comes to sensitive or unpleasant topics such as addiction and death. To reduce this ambiguity, we added literal descriptions to the input text prompts of our baseline model in the first stage, which resulted in significant performance improvement. In the second stage, visual supervision was integrated by using two sets of images generated by a text-to-image model that takes terms and descriptions as input. Our experiments showed that visual supervision gives a statistically significant performance boost. We achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.",1
"This paper describes our two-stage system1 for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022. Euphemisms tone down expressions about sensitive or unpleasant issues like addiction and death. The ambiguous nature of euphemistic words or expressions makes it challenging to detect their actual meaning within a context. In the first stage, we seek to mitigate this ambiguity by incorporating literal descriptions into input text prompts to our baseline model. It turns out that this kind of direct supervision yields remarkable performance improvement. In the second stage, we integrate visual supervision into our system using visual imageries, two sets of images generated by a text-to-image model by taking terms and descriptions as input. Our experiments demonstrate that visual supervision also gives a statistically significant performance boost. Our system achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.","У цьому документі представлено нашу двоетапну систему для спільного завдання «Виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з EMNLP 2022. Важко визначити справжнє значення евфемістичних слів або фраз через їх неоднозначну природу, коли мова йде про чутливі або неприємні теми, такі як залежність і смерть. Щоб зменшити цю неоднозначність, ми додали буквальні описи до вхідних текстових підказок нашої базової моделі на першому етапі, що призвело до значного покращення продуктивності. На другому етапі візуальний нагляд був інтегрований за допомогою двох наборів зображень, згенерованих моделлю перетворення тексту в зображення, яка приймає терміни та описи як вхідні дані. Наші експерименти показали, що візуальне спостереження дає статистично значущий приріст продуктивності. Ми зайняли друге місце з результатом Формули-1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.",1
"У цьому документі описано нашу двоетапну систему1 для спільного завдання «Виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з EMNLP 2022. Евфемізми пом’якшують вирази про чутливі або неприємні питання, такі як залежність і смерть. Неоднозначний характер евфемістичних слів або виразів ускладнює виявлення їх справжнього значення в контексті. На першому етапі ми намагаємося пом’якшити цю неоднозначність, включивши літеральні описи до вхідних текстових підказок нашої базової моделі. Виявляється, такий вид прямого контролю дає значне покращення продуктивності. На другому етапі ми інтегруємо візуальний нагляд у нашу систему за допомогою візуальних зображень, двох наборів зображень, створених за допомогою моделі тексту в зображення, використовуючи терміни та описи як вхідні дані. Наші експерименти демонструють, що візуальний контроль також дає статистично значуще підвищення продуктивності. Наша система посіла друге місце з результатом F1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.","Our two-stage system for the Euphemism Detection shared task hosted by the 3rd Workshop on Figurative Language Processing in conjunction with EMNLP 2022 is presented in this paper. It is difficult to identify the true meaning of euphemistic words or phrases due to their ambiguous nature when it comes to sensitive or unpleasant topics such as addiction and death. To reduce this ambiguity, we added literal descriptions to the input text prompts of our baseline model in the first stage, which resulted in significant performance improvement. In the second stage, visual supervision was integrated by using two sets of images generated by a text-to-image model that takes terms and descriptions as input. Our experiments showed that visual supervision gives a statistically significant performance boost. We achieved the second place with an F1 score of 87.2%, only about 0.9% worse than the best submission.",1
"У цьому документі описано нашу двоетапну систему1 для спільного завдання «Виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з EMNLP 2022. Евфемізми пом’якшують вирази про чутливі або неприємні питання, такі як залежність і смерть. Неоднозначний характер евфемістичних слів або виразів ускладнює виявлення їх справжнього значення в контексті. На першому етапі ми намагаємося пом’якшити цю неоднозначність, включивши літеральні описи до вхідних текстових підказок нашої базової моделі. Виявляється, такий вид прямого контролю дає значне покращення продуктивності. На другому етапі ми інтегруємо візуальний нагляд у нашу систему за допомогою візуальних зображень, двох наборів зображень, створених за допомогою моделі тексту в зображення, використовуючи терміни та описи як вхідні дані. Наші експерименти демонструють, що візуальний контроль також дає статистично значуще підвищення продуктивності. Наша система посіла друге місце з результатом F1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.","У цьому документі представлено нашу двоетапну систему для спільного завдання «Виявлення евфемізмів», організованого 3-м семінаром з обробки образної мови спільно з EMNLP 2022. Важко визначити справжнє значення евфемістичних слів або фраз через їх неоднозначну природу, коли йдеться про чутливі чи неприємні теми, такі як залежність і смерть. Щоб зменшити цю неоднозначність, ми додали буквальні описи до вхідних текстових підказок нашої базової моделі на першому етапі, що призвело до значного покращення продуктивності. На другому етапі візуальний нагляд був інтегрований за допомогою двох наборів зображень, згенерованих моделлю тексту в зображення, яка приймає терміни та описи як вхідні дані. Наші експерименти показали, що візуальне спостереження дає статистично значущий приріст продуктивності. Ми зайняли друге місце з результатом Формули-1 87,2%, що лише на 0,9% гірше, ніж найкраще подання.",1
"Giving machines the ability to imagine possible new objects or scenes from linguistic descriptions and produce their realistic renderings is arguably one of the most challenging problems in computer vision. Recent advances in deep generative models have led to new approaches that give promising results towards this goal. In this paper, we introduce a new method called DiCoMoGAN for manipulating videos with natural language, aiming to perform local and semantic edits on a video clip to alter the appearances of an object of interest. Our GAN architecture allows for better utilization of multiple observations by disentangling content and motion to enable controllable semantic edits. To this end, we introduce two tightly coupled networks: (i) a representation network for constructing a concise understanding of motion dynamics and temporally invariant content, and (ii) a translation network that exploits the extracted latent content representation to actuate the manipulation according to the target description. Our qualitative and quantitative evaluations demonstrate that DiCoMoGAN significantly outperforms existing frame-based methods, producing temporally coherent and semantically more meaningful results.","Developing machines that can generate realistic renderings of new objects or scenes from linguistic descriptions is one of the most difficult tasks in computer vision. Recently, deep generative models have been utilized to produce promising results. In this paper, we propose a new method, DiCoMoGAN, for manipulating videos with natural language, to modify the look of a particular object. Our GAN architecture permits better utilization of multiple observations by separating content and motion to allow for controllable semantic edits. To accomplish this, two networks are used: (i) a representation network for creating a succinct understanding of motion dynamics and content that is temporally invariant, and (ii) a translation network that uses the latent content representation to effect the manipulation according to the target description. Our qualitative and quantitative evaluations show that DiCoMoGAN significantly surpasses existing frame-based methods, producing results that are temporally coherent and semantically more meaningful.",1
"Giving machines the ability to imagine possible new objects or scenes from linguistic descriptions and produce their realistic renderings is arguably one of the most challenging problems in computer vision. Recent advances in deep generative models have led to new approaches that give promising results towards this goal. In this paper, we introduce a new method called DiCoMoGAN for manipulating videos with natural language, aiming to perform local and semantic edits on a video clip to alter the appearances of an object of interest. Our GAN architecture allows for better utilization of multiple observations by disentangling content and motion to enable controllable semantic edits. To this end, we introduce two tightly coupled networks: (i) a representation network for constructing a concise understanding of motion dynamics and temporally invariant content, and (ii) a translation network that exploits the extracted latent content representation to actuate the manipulation according to the target description. Our qualitative and quantitative evaluations demonstrate that DiCoMoGAN significantly outperforms existing frame-based methods, producing temporally coherent and semantically more meaningful results.","Розробка машин, які можуть генерувати реалістичні візуалізації нових об’єктів або сцен на основі лінгвістичних описів, є одним із найскладніших завдань комп’ютерного зору. Останнім часом глибокі генеративні моделі були використані для отримання багатообіцяючих результатів. У цій статті ми пропонуємо новий метод, DiCoMoGAN, для обробки відео за допомогою природної мови, щоб змінити зовнішній вигляд певного об’єкта. Наша архітектура GAN дозволяє краще використовувати кілька спостережень, відокремлюючи вміст і рух, щоб забезпечити кероване семантичне редагування. Щоб досягти цього, використовуються дві мережі: (i) мережа представлення для створення короткого розуміння динаміки руху та вмісту, незмінного за часом, і (ii) мережа перекладу, яка використовує представлення латентного вмісту для здійснення маніпуляцій відповідно до цільовий опис. Наші якісні та кількісні оцінки показують, що DiCoMoGAN значно перевершує існуючі методи на основі кадрів, створюючи результати, які є часово узгодженими та семантично більш значущими.",1
"Надання машинам здатності уявляти можливі нові об’єкти чи сцени на основі лінгвістичних описів і виробляти їх реалістичне відтворення є, мабуть, однією з найскладніших проблем комп’ютерного зору. Останні досягнення в глибоких генеративних моделях привели до нових підходів, які дають багатообіцяючі результати для досягнення цієї мети. У цій статті ми представляємо новий метод під назвою DiCoMoGAN для обробки відео за допомогою природної мови, спрямований на виконання локальних і семантичних редагувань відеокліпу, щоб змінити зовнішній вигляд цікавого об’єкта. Наша архітектура GAN дозволяє краще використовувати кілька спостережень, розмежовуючи вміст і рух, щоб уможливити кероване семантичне редагування. З цією метою ми представляємо дві тісно пов’язані мережі: (i) репрезентативну мережу для побудови стислого розуміння динаміки руху та тимчасово незмінного вмісту, і (ii) мережу перекладу, яка використовує виділене латентне представлення вмісту для активації маніпуляції відповідно до цільовий опис. Наші якісні та кількісні оцінки демонструють, що DiCoMoGAN значно перевершує існуючі методи на основі фреймів, створюючи узгоджені в часі та семантично більш значущі результати.","Developing machines that can generate realistic renderings of new objects or scenes from linguistic descriptions is one of the most difficult tasks in computer vision. Recently, deep generative models have been utilized to produce promising results. In this paper, we propose a new method, DiCoMoGAN, for manipulating videos with natural language, to modify the look of a particular object. Our GAN architecture permits better utilization of multiple observations by separating content and motion to allow for controllable semantic edits. To accomplish this, two networks are used: (i) a representation network for creating a succinct understanding of motion dynamics and content that is temporally invariant, and (ii) a translation network that uses the latent content representation to effect the manipulation according to the target description. Our qualitative and quantitative evaluations show that DiCoMoGAN significantly surpasses existing frame-based methods, producing results that are temporally coherent and semantically more meaningful.",1
